Title,Author,ISBN-13
"The Women",Kristin Hannah,9780312577243
"James",Percival Everett,9780385551540
"Funny Story",Emily Henry,9780593441299
"The Housemaid Is Watching",Freida McFadden,9781542037464
"This Is How You Get Your Heart Broken",Rosemarie Jarski,9780385676991
"Long Island",Colm Tóibín,9781476785110
"The Ministry of Time",Kaliane Bradley,9781668045718
"All the Colors of the Dark",Chris Whitaker,9780593137527
"The Husbands",Holly Gramazio,9780593798935
"Table for Two",Amor Towles,9780593796849
"The Hunter",Tana French,9780593491324
"Wandering Stars",Tommy Orange,9780593209015
"Martyr!",Kaveh Akbar,9780593320709
"Grief Is for People",Sloane Crosley,9780374603914
"The Book of Love",Kelly Link,9780525519881
"Expiration Dates",Rebecca Serle,9781668012017
"The Frozen River",Ariel Lawhon,9780385547376
"First Lie Wins",Ashley Elston,9781250889928
"The Teacher",Freida McFadden,9781542037440
"The Fury",Alex Michaelides,9781250299697
"The Last Murder at the End of the World",Stuart Turton,9781728252277
"Everyone on This Train Is a Suspect",Benjamin Stevenson,9780063278240
"Good Half Gone",Tarryn Fisher,9781649375025
"Listen for the Lie",Amy Tintera,9781250887320
"One of the Good Guys",Araminta Hall,9781250830708
"The New Couple in 5B",Lisa Unger,9780778334465
"The Other Side of Disappearing",Kate Clayborn,9781496739506
"The Thing About Home",Rhonda McKnight,9781496739261
"What Happened to Nina?",Dervla McTiernan,9780063293885
"Wild Life",Opal Wei,9780063313934
"The Familiar",Leigh Bardugo,9780593595534
"The Tainted Cup",Robert Jackson Bennett,9780593548943
"The Hexologists",Josiah Bancroft,9780316568112
"The Olympian Affair",Jim Butcher,9780593437292
"House of Flame and Shadow",Sarah J. Maas,9781635574111
"A Fate Inked in Blood",Danielle L. Jensen,9780593440711
"The Prisoner's Throne",Holly Black,9780316538962
"The Atlas Complex",Olivie Blake,9780765385489
"Powerless",Lauren Roberts,9781665942488
"The Reappearance of Rachel Price",Holly Jackson,9780593374221
"The Scarlet Shedder",Dav Pilkey,9781338896350
"Hot Mess (Diary of a Wimpy Kid #19)",Jeff Kinney,9781419766961
"If Only I Had Told Her",Laura Nowlin,9781728283998
"The Anxious Generation",Jonathan Haidt,9780593655030
"The Book of Bill",Alex Hirsch,9781368092196
"Knife",Salman Rushdie,9780593730232
"Somehow: Thoughts on Love",Anne Lamott,9780593241039
"The Wives",Simone Gorrindo,9781643751761
"The Demon of Unrest",Erik Larson,9780385348744
"The Comfort of Crows",Margaret Renkl,9780593243767
