Title,Author,ISBN-13
"The Underground Railroad",Colson Whitehead,9780385542365
"Homegoing",Yaa Gyasi,9781101947135
"The Nix",Nathan Hill,9780307951569
"A Gentleman in Moscow",Amor Towles,9780670026197
"The Mothers",Brit Bennett,9781594634383
"Commonwealth",Ann Patchett,9780062491794
"Swing Time",Zadie Smith,9781594203986
"Moonglow",Michael Chabon,9780062225559
"Here I Am",Jonathan Safran Foer,9780374280024
"Barkskins",Annie Proulx,9780743288766
"The Nest",Cynthia D'Aprix Sweeney,9780062414212
"It Ends with Us",Colleen Hoover,9781501110368
"The Woman in Cabin 10",Ruth Ware,9781501132933
"Behind Closed Doors",B.A. Paris,9781250121008
"A Court of Mist and Fury",Sarah J. Maas,9781619634473
"The Whistler",John Grisham,9780385541193
"The Last Mile",David Baldacci,9781455586486
"Night School",Lee Child,9780804178808
"The Wrong Side of Goodbye",Michael Connelly,9780316225953
"Turbo Twenty-Three",Janet Evanovich,9780345542915
"The Obsession",Nora Roberts,9780399175153
"Harry Potter and the Cursed Child",J.K. Rowling, John Tiffany, Jack Thorne,9781338099133
"The Girl on the Train",Paula Hawkins,9781594633661
"When Breath Becomes Air",Paul Kalanithi,9780812988409
"Hillbilly Elegy",J.D. Vance,9780062300547
"The Gene: An Intimate History",Siddhartha Mukherjee,9781476733524
"Evicted: Poverty and Profit in the American City",Matthew Desmond,9780553447439
"The Glass Castle",Jeannette Walls,9780743247542
"The Life-Changing Magic of Tidying Up",Marie Kondo,9781607747307
"The Wright Brothers",David McCullough,9781476728742
"Hamilton: The Revolution",Lin-Manuel Miranda & Jeremy McCarter,9781455539741
"Born to Run",Bruce Springsteen,9781501141515
"The Hidden Life of Trees",Peter Wohlleben,9781771642484
"Grit: The Power of Passion and Perseverance",Angela Duckworth,9781501111105
"Lab Girl",Hope Jahren,9781101874838
"In the Darkroom",Susan Faludi,9780805097429
"Stamped from the Beginning",Ibram X. Kendi,9781568584638
"Blood in the Water: The Attica Prison Uprising of 1971",Heather Ann Thompson,9780375423641
"Shirley Jackson: A Rather Haunted Life",Ruth Franklin,9780871403131
"The Sympathizer",Viet Thanh Nguyen,9780802124944
"My Name Is Lucy Barton",Elizabeth Strout,9780812986481
"LaRose",Louise Erdrich,9780062277022
"The Vegetarian",Han Kang,9781101906118
"Do Not Say We Have Nothing",Madeleine Thien,9780393354456
"Eileen",Ottessa Moshfegh,9780143128755
"Hot Milk",Deborah Levy,9781632863216
"All That Man Is",David Szalay,9781555977557
"The Sellout",Paul Beatty,9781250083257
"The North Water",Ian McGuire,9781627790494
