Title,Author,ISBN-13
The Girl on the Train,Paula Hawkins,9781594633661
Go Set a Watchman,Harper Lee,9780062409850
All the Light We Cannot See,Anthony Doerr,9781476746586
The Martian,Andy Weir,9780804139021
A Spool of Blue Thread,Anne Tyler,9780804171229
Fates and Furies,Lauren Groff,9781594634479
The Nightingale,Kristin Hannah,9780312577229
A Little Life,Hanya Yanagihara,9780385539257
The Sympathizer,Viet Thanh Nguyen,9780802124944
Purity,Jonathan Franzen,97803742392
The Buried Giant,Kazuo Ishiguro,9780307271047
City on Fire,Garth Risk Hallberg,9780385353779
Did You Ever Have a Family,Bill Clegg,9781476798172
The Story of the Lost Child,Elena Ferrante,9781609452865
The Tsar of Love and Techno,Anthony Marra,9780770436442
A Brief History of Seven Killings,Marlon James,9781594633940
The Fifth Season,N.K. Jemisin,9780316229296
Uprooted,Naomi Novik,9780804179058
The Shepherd's Crown,Terry Pratchett,9780062429964
A Court of Thorns and Roses,Sarah J. Maas,9781619634442
The Rogue Lawyer,John Grisham,9780385539458
The Survivor,Vince Flynn & Kyle Mills,9781476783451
Make Me,Lee Child,9780804178778
The Crossing,Michael Connelly,9780316225892
Tricky Twenty-Two,Janet Evanovich,9780345542908
The Bazaar of Bad Dreams,Stephen King,9781501111679
Gray Mountain,John Grisham,9780385539169
Between the World and Me,Ta-Nehisi Coates,9780812993541
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,9780307408860
The Life-Changing Magic of Tidying Up,Marie Kondo,9781607747307
Being Mortal,Atul Gawande,9780805095159
The Wright Brothers,David McCullough,9781476728742
H is for Hawk,Helen Macdonald,9780802123411
The Argonauts,Maggie Nelson,9781555977038
Barbarian Days: A Surfing Life,William Finnegan,9781594203473
Modern Romance,Aziz Ansari,9781594206274
On the Move: A Life,Oliver Sacks,9780385352543
The Oregon Trail: A New American Journey,Rinker Buck,9781451659224
SPQR: A History of Ancient Rome,Mary Beard,9780871404237
The Invention of Nature,Andrea Wulf,9780385350662
The Thing Explainer,Randall Munroe,9780544668256
M Train,Patti Smith,9781101875101
Hunger Makes Me a Modern Girl,Carrie Brownstein,9781594486630
"The Witches: Salem, 1692",Stacy Schiff,9780316201632
Ghettoside: A True Story of Murder in America,Jill Leovy,9780385529985
Missoula: Rape and the Justice System in a College Town,Jon Krakauer,9780385539008
The Quartet: Orchestrating the Second American Revolution,Joseph J. Ellis,9780385353416
Guantánamo Diary,Mohamedou Ould Slahi,9780316328682
The Underground Railroad,Colson Whitehead,9780385542365
Homegoing,Yaa Gyasi,9781101947135
The Nix,Nathan Hill,9780307951569
A Gentleman in Moscow,Amor Towles,9780670026197
The Mothers,Brit Bennett,9781594634383
Commonwealth,Ann Patchett,9780062491794
Swing Time,Zadie Smith,9781594203986
Moonglow,Michael Chabon,9780062225559
Here I Am,Jonathan Safran Foer,9780374280024
Barkskins,Annie Proulx,9780743288766
The Nest,Cynthia D'Aprix Sweeney,9780062414212
It Ends with Us,Colleen Hoover,9781501110368
The Woman in Cabin 10,Ruth Ware,9781501132933
Behind Closed Doors,B.A. Paris,9781250121008
A Court of Mist and Fury,Sarah J. Maas,9781619634473
The Whistler,John Grisham,9780385541193
The Last Mile,David Baldacci,9781455586486
Night School,Lee Child,9780804178808
The Wrong Side of Goodbye,Michael Connelly,9780316225953
Turbo Twenty-Three,Janet Evanovich,9780345542915
The Obsession,Nora Roberts,9780399175153
Harry Potter and the Cursed Child,J.K. Rowling,
When Breath Becomes Air,Paul Kalanithi,9780812988409
Hillbilly Elegy,J.D. Vance,9780062300547
The Gene: An Intimate History,Siddhartha Mukherjee,9781476733524
Evicted: Poverty and Profit in the American City,Matthew Desmond,9780553447439
The Glass Castle,Jeannette Walls,9780743247542
Hamilton: The Revolution,Lin-Manuel Miranda & Jeremy McCarter,9781455539741
Born to Run,Bruce Springsteen,9781501141515
The Hidden Life of Trees,Peter Wohlleben,9781771642484
