year,title,author,isbn13
2024,"James",Percival Everett,978-0-385-55036-9
2024,"The Women",Kristin Hannah,978-1-250-17863-3
2024,"Funny Story",Emily Henry,978-0-593-44128-2
2024,"You Like It Darker: Stories",Stephen King,978-1-6680-3771-3
2024,"All Fours",Miranda July,978-0-593-71573-4
2024,"Martyr!",Kaveh Akbar,978-0-593-53761-9
2024,"House of Flame and Shadow",Sarah J. Maas,978-1-63557-410-4
2024,"The God of the Woods",Liz Moore,978-0-593-41891-8
2024,"Intermezzo",Sally Rooney,978-0-374-61120-0
2024,"The Ministry of Time",Kaliane Bradley,978-1-6680-4514-5
2024,"Dog Man: The Scarlet Shedder",Dav Pilkey,978-1-338-89643-5
2024,"Creation Lake",Rachel Kushner,978-1-6680-5299-0
2024,"The Wedding People",Alison Espach,978-0-593-49149-2
2024,"Counting Miracles",Nicholas Sparks,978-0-593-44959-2
2024,"Somewhere Beyond the Sea",T.J. Klune,978-1-250-89052-8
2024,"Wandering Stars",Tommy Orange,978-0-593-31825-6
2024,"Just for the Summer",Abby Jimenez,978-1-5387-0442-4
2024,"The Wide Wide Sea",Hampton Sides,978-0-385-54476-6
2024,"Wind and Truth",Brandon Sanderson,978-1-250-31918-0
2024,"Orbital",Samantha Harvey,978-0-8021-6338-7
2024,"There's Always This Year",Hanif Abdurraqib,978-0-593-44878-6
2024,"My Friends",Hisham Matar,978-0-399-56242-6
2024,"Knife: Meditations After an Attempted Murder",Salman Rushdie,978-0-593-73023-2
2024,"The Anxious Generation",Jonathan Haidt,978-0-593-65503-0
2024,"Night Watch",Jayne Anne Phillips,978-0-593-71644-1
2024,"Grief is for People",Sloane Crosley,978-0-374-60983-2
2024,"Colored Television",Danzy Senna,978-0-593-49232-1
2024,"Headshot",Rita Bullwinkel,978-0-593-31730-3
2024,"Long Island",Colm Tóibín,978-1-9821-9133-7
2024,"Rejection",Tony Tulathimutte,978-0-06-331411-5
2024,"Long Island Compromise",Taffy Brodesser-Akner,978-0-593-44793-2
2024,"Our Evenings",Alan Hollinghurst,978-0-593-31728-0
2024,"The Light Eaters",Zoë Schlanger,978-0-06-325093-2
2024,"The Safekeep",Yael Van Der Wouden,978-1-6680-4107-9
2024,"Small Rain",Garth Greenwell,978-0-374-60965-8
2024,"Everyone Who is Gone is Here",Jonathan Blitzer,978-0-593-29648-6
2024,"The Mighty Red",Louise Erdrich,978-0-06-334991-9
2024,"Challenger",Adam Higginbotham,978-1-9821-4825-6
2024,"Playground",Richard Powers,978-0-393-86828-9
2024,"The Barn",Wright Thompson,978-0-593-30026-8
2024,"The Coin",Yasmin Zaher,978-1-64622-192-3
2024,"Great Expectations",Vinson Cunningham,978-0-593-49021-1
2024,"You Dreamed of Empires",Álvaro Enrigue,978-0-593-42001-0
2024,"Patriot",Alexei Navalny,978-0-593-87321-2
2024,"The Anthropologists",Ayşegül Savaş,978-1-63557-919-2
2024,"The Achilles Trap",Steve Coll,978-0-593-29642-4
2024,"Clear",Carys Davies,978-1-954-60408-4
2024,"The Bright Sword",Lev Grossman,978-0-593-49137-9
2024,"The Book of Love",Kelly Link,978-0-593-44990-5
2024,"This Strange Eventful History",Claire Messud,978-0-393-24590-7
2024,"I Heard Her Call My Name",Lucy Sante,978-0-593-49191-1
2024,"Bluff",Danez Smith,978-1-64445-284-8
2024,"The Empusium",Olga Tokarczuk,978-0-593-53481-6
2024,"Ghostroots",'Pemi Aguda,978-0-393-88166-0
2024,"Entitlement",Rumaan Alam,978-0-593-42004-1
2024,"Didion and Babitz",Lili Anolik,978-1-5011-9926-4
2024,"The Familiar",Leigh Bardugo,978-1-250-89241-6
2024,"Wild Houses",Colin Barrett,978-0-8021-6302-8
2024,"Beautyland",Marie-Helene Bertino,978-0-374-60931-3
2024,"Reagan",Max Boot,978-1-63149-798-8
2024,"Get the Picture",Bianca Bosker,978-0-593-29943-2
2024,"A Sunny Place for Shady People",Mariana Enriquez,978-0-593-44890-8
2024,"The Husbands",Holly Gramazio,978-0-593-54817-2
2024,"Survival is a Promise",Alexis Pauline Gumbs,978-0-374-60718-0
2024,"Someone Like Us",Dinaw Mengestu,978-0-593-31732-7
2024,"Whiskey Tender",Deborah Jackson Taffa,978-0-06-329193-5
2024,"Fire Exit",Morgan Talty,978-1-953534-84-1
2024,"All the Colors of the Dark",Chris Whitaker,978-0-593-13421-4
2024,"Good Material",Dolly Alderton,978-0-593-31734-7
2024,"The Message",Ta-Nehisi Coates,978-0-593-24108-0
2024,"Soldiers and Kings",Jason De León,978-0-593-49188-1
2024,"When the Clock Broke",John Ganz,978-0-374-60533-9
2024,"Anita de Monte Laughs Last",Xochitl Gonzalez,978-0-593-47144-9
2024,"Feeding Ghosts",Tessa Hulls,978-0-374-60110-2
2024,"Real Americans",Rachel Khong,978-0-593-31655-9
2024,"The Sequel",Jean Hanff Korelitz,978-1-250-86622-6
2024,"How to End a Love Story",Yulin Kuang,978-0-06-331321-7
2024,"Sandwich",Catherine Newman,978-0-06-331409-2
2024,"Mina's Matchbox",Yoko Ogawa,978-0-593-31653-5
2024,"We Solve Murders",Richard Osman,978-0-593-49131-7
2024,"Come and Get It",Kiley Reid,978-0-593-31683-2
2024,"Greta & Valdin",Rebecca K. Reilly,978-0-593-54819-6
2024,"Margo's Got Money Troubles",Rufi Thorpe,978-0-06-331271-5
2024,"Brotherless Night",V. V. Ganeshananthan,978-0-525-51138-0
2024,"Kairos",Jenny Erpenbeck,978-0-8112-3243-0
2024,"Solenoid",Mircea Cărtărescu,978-1-64605-182-9
2024,"I Am Homeless If This Is Not My Home",Lorrie Moore,978-0-385-35230-7
2024,"Held",Anne Michaels,978-0-374-60963-4
2024,"Praiseworthy",Alexis Wright,978-0-8112-3406-9
2024,"Hungry Ghosts",Kevin Jared Hosein,978-0-06-327333-7
2024,"God Bless You, Otis Spunkmeyer",Joseph Earl Thomas,978-1-5387-4054-5
2023,"Demon Copperhead",Barbara Kingsolver,978-0-06-325192-2
2023,"Fourth Wing",Rebecca Yarros,978-1-64937-404-2
2023,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,978-0-385-53426-0
2023,"Spare",Prince Harry, The Duke of Sussex,978-0-593-59380-6
2023,"Lessons in Chemistry",Bonnie Garmus,978-0-385-54734-5
2023,"Iron Flame",Rebecca Yarros,978-1-64937-417-2
2023,"Happy Place",Emily Henry,978-0-593-44127-5
2023,"Tom Lake",Ann Patchett,978-0-06-332742-9
2023,"The Heaven & Earth Grocery Store",James McBride,978-0-593-42295-3
2023,"The Covenant of Water",Abraham Verghese,978-0-8021-6217-5
2023,"Remarkably Bright Creatures",Shelby Van Pelt,978-0-06-320415-7
2023,"Yellowface",R.F. Kuang,978-0-06-325089-5
2023,"Holly",Stephen King,978-1-6680-1393-9
2023,"Prophet Song",Paul Lynch,978-0-8021-6112-3
2023,"Trust",Hernan Diaz,978-0-593-42031-7
2023,"Divine Rivals",Rebecca Ross,978-1-250-85743-9
2023,"The Exchange: After The Firm",John Grisham,978-0-385-54895-5
2023,"Hello Beautiful",Ann Napolitano,978-0-593-59378-3
2023,"Weyward",Emilia Hart,978-1-250-28565-2
2023,"The Housemaid's Secret",Freida McFadden,978-1-72828-319-7
2023,"No Brainer (Diary of a Wimpy Kid #18)",Jeff Kinney,978-1-4197-6694-7
2023,"King of Pride",Ana Huang,978-1-7282-7456-0
2023,"A Court of Thorns and Roses",Sarah J. Maas,978-1-63557-556-9
2023,"The River We Remember",William Kent Krueger,978-1-9821-7921-2
2023,"North Woods",Daniel Mason,978-0-593-59703-3
2023,"Being Henry: The Fonz... and Beyond",Henry Winkler,978-1-250-28788-5
2023,"Poverty, by America",Matthew Desmond,978-0-593-23991-9
2023,"Check & Mate",Ali Hazelwood,978-0-593-33753-0
2023,"In the Lives of Puppets",T.J. Klune,978-1-250-21751-6
2023,"Hell Bent",Leigh Bardugo,978-1-250-62181-7
2023,"The Bee Sting",Paul Murray,978-0-374-60997-9
2023,"Western Lane",Chetna Maroo,978-0-374-61031-9
2023,"This Other Eden",Paul Harding,978-0-393-60888-2
2023,"If I Survive You",Jonathan Escoffery,978-0-374-60598-7
2023,"Study for Obedience",Sarah Bernstein,978-0-593-53619-3
2023,"Time Shelter",Georgi Gospodinov,978-1-63149-893-0
2023,"Blackouts",Justin Torres,978-0-374-29355-0
2023,"Bliss Montage",Ling Ma,978-0-374-60474-5
2023,"The Book of Goose",Yiyun Li,978-0-374-60634-3
2023,"Night of the Living Rez",Morgan Talty,978-1-953534-18-6
2023,"Dr. No",Percival Everett,978-1-64445-203-9
2023,"Babel: Or the Necessity of Violence",R. F. Kuang,978-0-06-302142-6
2023,"Biography of X",Catherine Lacey,978-0-374-60550-5
2023,"Like a Sister",Kellye Garrett,978-0-316-25696-5
2023,"Chain Gang All Stars",Nana Kwame Adjei-Brenyah,978-0-593-31733-4
2023,"The Fraud",Zadie Smith,978-0-593-31735-8
2023,"The Best Minds",Jonathan Rosen,978-0-525-56011-1
2023,"Some People Need Killing",Patricia Evangelista,978-0-593-13823-6
2023,"The 272",Rachel L. Swarns,978-0-399-59040-5
2023,"After Sappho",Selby Wynn Schwartz,978-1-63149-888-6
2023,"All the Sinners Bleed",S. A. Cosby,978-1-250-84678-5
2023,"Birnam Wood",Eleanor Catton,978-0-374-60802-6
2023,"Bright Young Women",Jessica Knoll,978-1-5011-5322-8
2023,"Crook Manifesto",Colson Whitehead,978-0-385-54737-6
2023,"Emily Wilde's Encyclopaedia of Faeries",Heather Fawcett,978-0-593-50011-8
2023,"Enter Ghost",Isabella Hammad,978-0-8021-6068-3
2023,"A History of Burning",Janika Oza,978-1-5387-2686-0
2023,"How to Say Babylon",Safiya Sinclair,978-1-9821-3233-0
2023,"Ink Blood Sister Scribe",Emma Törzs,978-0-06-325466-4
2023,"King: A Life",Jonathan Eig,978-0-374-23467-9
2023,"Land of Milk and Honey",C Pam Zhang,978-0-593-42203-8
2023,"A Living Remedy",Nicole Chung,978-0-06-303150-0
2023,"Lone Women",Victor LaValle,978-0-525-51208-0
2023,"My Name Is Barbra",Barbra Streisand,978-0-525-42952-4
2023,"Pageboy",Elliot Page,978-1-250-87835-9
2023,"Pineapple Street",Jenny Jackson,978-0-593-49069-3
2023,"The Reformatory",Tananarive Due,978-1-9821-8834-4
2023,"Victory City",Salman Rushdie,978-0-593-24339-8
2023,"The Woman in Me",Britney Spears,978-1-6680-4295-3
2022,"It Ends with Us",Colleen Hoover,978-1-5011-1036-8
2022,"Verity",Colleen Hoover,978-1-7913-9279-6
2022,"It Starts with Us",Colleen Hoover,978-1-6680-0122-6
2022,"Where the Crawdads Sing",Delia Owens,978-0-7352-1909-0
2022,"Ugly Love",Colleen Hoover,978-1-4767-5318-8
2022,"The Seven Husbands of Evelyn Hugo",Taylor Jenkins Reid,978-1-5011-3923-9
2022,"Reminders of Him",Colleen Hoover,978-1-5420-2 reminders-of-him-colleen-hoover
