Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
43834909,Long Bright River,Liz    Moore,"Moore, Liz",,"=""0525540679""","=""9780525540670""",0,4.05,Riverhead Books,Hardcover,482,2020,2020,,2025/08/09,currently-reading,currently-reading (#2),currently-reading,,,,1,0
210943364,The Message,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0593230388""","=""9780593230381""",5,4.51,One World,Hardcover,232,2024,2024,2025/08/09,2025/08/09,,,read,,,,1,0
203956643,A Sunny Place for Shady People,Mariana Enríquez,"Enríquez, Mariana",Megan McDowell,"=""0593733258""","=""9780593733257""",5,3.78,Hogarth,Hardcover,257,2024,2024,,2025/08/09,,,read,,,,1,0
219449299,"We Solve Murders (We Solve Murders, #1)",Richard Osman,"Osman, Richard",,"=""059365322X""","=""9780593653227""",5,4.08,Pamela Dorman Books,Hardcover,387,2024,2024,,2025/08/09,,,read,,,,1,0
199793431,The Mighty Red,Louise Erdrich,"Erdrich, Louise",,"=""0063277050""","=""9780063277052""",5,3.83,Harper,Hardcover,384,2024,2024,,2025/08/09,,,read,,,,1,0
217927444,Murderland: Crime and Bloodlust in the Time of Serial Killers,Caroline Fraser,"Fraser, Caroline",,"=""0593657225""","=""9780593657225""",0,3.89,Penguin Press,Hardcover,480,2025,2025,,2025/08/09,to-read,to-read (#498),to-read,,,,0,0
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",5,4.21,Flatiron Books,Hardcover,382,2025,2025,,2025/08/09,,,read,,,,1,0
174147294,Wandering Stars,Tommy Orange,"Orange, Tommy",,"=""0593318250""","=""9780593318256""",0,3.83,Knopf,Hardcover,315,2024,2024,,2025/08/09,to-read,to-read (#497),to-read,,,,0,0
199798201,The Safekeep,Yael van der Wouden,"Wouden, Yael van der",,"=""1668034344""","=""9781668034347""",0,4.10,Avid Reader Press / Simon & Schuster,Hardcover,272,2024,2024,,2025/08/09,to-read,to-read (#496),to-read,,,,0,0
60811826,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Ros Schwartz, Sophie Mackintosh","=""1945492600""","=""9781945492600""",3,4.14,Transit Books,Paperback,184,2022,1995,,2025/08/09,,,read,,,,1,0
205478762,Playground,Richard Powers,"Powers, Richard",,"=""1324086033""","=""9781324086031""",4,4.18,W. W. Norton & Company,Hardcover,381,2024,2024,,2025/08/09,,,read,,,,1,0
58662236,Small Things Like These,Claire Keegan,"Keegan, Claire",,"=""0802158749""","=""9780802158741""",5,4.13,Grove Press,Hardcover,128,2021,2021,,2025/08/09,,,read,,,,1,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",5,3.55,Atlantic Monthly Press,Hardcover,224,2023,2023,,2025/08/09,,,read,,,,1,0
220259184,Heartwood,Amity Gaige,"Gaige, Amity",,"=""1668063603""","=""9781668063606""",5,3.97,Simon & Schuster,Hardcover,320,2025,2025,,2025/08/09,,,read,,,,1,0
199698485,The God of the Woods,Liz    Moore,"Moore, Liz",,"=""""","=""""",5,4.13,Riverhead Books,Kindle Edition,490,2024,2024,,2025/08/09,,,read,,,,1,0
211004089,Wild Dark Shore,Charlotte McConaghy,"McConaghy, Charlotte",,"=""1250827957""","=""9781250827951""",5,4.18,Flatiron Books,Hardcover,298,2025,2025,,2025/08/09,,,read,,,,1,0
207300960,Creation Lake,Rachel Kushner,"Kushner, Rachel",,"=""1982116528""","=""9781982116521""",4,3.38,Scribner,Hardcover,416,2024,2024,,2025/08/09,,,read,,,,1,0
45195,A Passage to India,E.M. Forster,"Forster, E.M.","Oliver Stallybrass, Pankaj Mishra","=""014144116X""","=""9780141441160""",4,3.68,Penguin Books,Paperback,376,2005,1924,,2022/08/22,,,read,,,,1,0
49090884,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""1982150920""","=""9781982150921""",4,3.78,Scribner,Paperback,209,2020,2017,,2022/10/03,,,read,,,,1,0
61714633,"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,"Grann, David",,"=""0385534264""","=""9780385534260""",5,4.17,Doubleday,Hardcover,331,2023,2023,,2023/05/17,,,read,,,,1,0
464260,The Fire Next Time,James Baldwin,"Baldwin, James",,"=""067974472X""","=""9780679744726""",5,4.55,Vintage,Paperback,106,1992,1963,,2021/12/31,,,read,,,,1,0
55298364,A Children's Bible,Lydia Millet,"Millet, Lydia",,"=""0393867382""","=""9780393867381""",3,3.72,W. W. Norton & Company,Paperback,224,2021,2020,,2022/01/08,,,read,,,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",3,4.33,Avery,Kindle Edition,319,2018,2018,,2022/01/08,,,read,,,,1,0
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",5,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,,2021/12/26,,,read,,,,1,0
43868109,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,"Keefe, Patrick Radden",,"=""0385545681""","=""9780385545686""",0,4.54,Doubleday,Hardcover,535,2021,2021,,2021/12/26,currently-reading,currently-reading (#1),currently-reading,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",4,4.50,Ballantine Books,Hardcover,476,2021,2021,,2021/12/26,,,read,,,,1,0
7493,Founding Brothers: The Revolutionary Generation,Joseph J. Ellis,"Ellis, Joseph J.",,"=""0375705244""","=""9780375705243""",4,3.95,Vintage Books,Unknown Binding,288,2000,2000,,2021/12/26,,,read,,,,1,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",3,4.02,Penguin Press,Hardcover,246,2019,2019,,2021/12/26,,,read,,,,1,0
397483,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"Larson, Erik",,"=""0609608444""","=""9780609608449""",4,4.00,Crown Publishers,Hardcover,464,2003,2003,,2021/12/26,,,read,,,,1,0
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",5,4.09,Vintage,Paperback,343,1994,1966,,2021/12/26,,,read,,,,1,0
20410190,Authority (Southern Reach #2),Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374710783""","=""9780374710781""",4,3.55,FSG Originals,Kindle Edition,353,2014,2014,2025/08/09,2025/01/04,,,read,,,,1,0
18803640,H is for Hawk,Helen Macdonald,"Macdonald, Helen",,"=""0224097008""","=""9780224097000""",4,3.74,Grove Press,Hardcover,300,2014,2014,2025/08/08,2021/12/26,,,read,,,,1,0
50370299,The Hot Zone,Richard   Preston,"Preston, Richard",,"=""""","=""""",0,4.16,Anchor,Kindle Edition,450,2012,1994,2025/06/17,2022/01/01,,,read,,,,1,0
20410192,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""""","=""""",4,3.79,FSG Originals,Kindle Edition,210,2014,2014,2025/01/01,2021/12/26,,,read,,,,1,0
179550498,James,Percival Everett,"Everett, Percival",,"=""0385550375""","=""9780385550376""",0,4.47,Doubleday,ebook,304,2024,2024,2024/12/30,2024/12/27,,,read,,,,1,0
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",5,3.87,Penguin Books,Kindle Edition,382,2020,2020,,2022/01/08,,,read,,,,1,0
27071490,Homegoing,Yaa Gyasi,"Gyasi, Yaa",,"=""""","=""""",5,4.47,Alfred A. Knopf,Hardcover,305,2016,2016,,2022/01/09,,,read,,,,1,0
428,Play It As It Lays,Joan Didion,"Didion, Joan",,"=""0374529949""","=""9780374529949""",5,3.91,"Farrar, Straus and Giroux",Paperback,231,2005,1970,,2022/02/12,,,read,,,,1,0
58745185,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",4,4.03,Ballantine Books,Hardcover,369,2021,2021,,2022/03/02,,,read,,,,1,0
57693639,Pure Colour,Sheila Heti,"Heti, Sheila",,"=""0374603944""","=""9780374603946""",3,3.43,"Farrar, Straus and Giroux",Hardcover,224,2022,2022,,2022/04/24,,,read,,,,1,0
25622780,Wide Sargasso Sea,Jean Rhys,"Rhys, Jean",Edwidge Danticat,"=""0393352560""","=""9780393352566""",5,3.59,W. W. Norton & Company,Paperback,176,2016,1966,,2022/08/22,,,read,,,,1,0
61190770,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,"Adjei-Brenyah, Nana Kwame",,"=""0593317335""","=""9780593317334""",4,4.12,Pantheon,Hardcover,367,2023,2023,,2023/03/17,,,read,,,,1,0
19492105,Erasure,Percival Everett,"Everett, Percival",,"=""""","=""""",5,4.17,Graywolf Press,Kindle Edition,280,2011,2001,2024/12/21,2024/12/21,,,read,,,,1,0
69704901,Black Sheep,Rachel   Harrison,"Harrison, Rachel",,"=""0593545877""","=""9780593545874""",4,3.58,Berkley,Kindle Edition,304,2023,2023,2024/11/28,2024/11/28,,,read,,,,1,0
45032,Mansfield Park,Jane Austen,"Austen, Jane","Kathryn Sutherland, Charles Edmund Brock","=""""","=""""",0,3.86,Penguin Books,Paperback,488,2003,1814,,2022/08/10,to-read,to-read (#361),to-read,,,,0,0
54083354,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""""","=""""",5,4.20,William Morrow Paperbacks,Kindle Edition,256,2003,1934,2024/10/31,2022/05/11,,,read,,,,1,0
37767425,The Round House,Louise Erdrich,"Erdrich, Louise",,"=""""","=""""",5,3.98,Harper,Kindle Edition,368,2012,2012,2024/10/25,2024/10/25,,,read,,,,1,0
32970179,Magpie Murders (Susan Ryeland #1),Anthony Horowitz,"Horowitz, Anthony",,"=""0062645242""","=""9780062645241""",4,3.95,Harper,Kindle Edition,505,2017,2016,2024/10/15,2022/01/14,,,read,,,,1,0
30190049,White Rage: The Unspoken Truth of Our Racial Divide,Carol  Anderson,"Anderson, Carol",,"=""""","=""""",5,4.47,Bloomsbury USA,Kindle Edition,286,2016,2016,2024/09/30,2022/01/22,,,read,,,,1,0
39943902,Fire & Blood,George R.R. Martin,"Martin, George R.R.",Doug Wheatley,"=""""","=""""",4,4.05,Bantam,ebook,787,2018,2018,2024/09/23,2022/11/16,,,read,,,,1,0
