Title,Author,ISBN-13
"Educated",Tara Westover,9780399590504
"Becoming",Michelle Obama,9781524763139
"Circe",Madeline Miller,9780316556348
"The Great Believers",Rebecca Makkai,9780735223523
"An American Marriage",Tayari Jones,9781616207601
"There There",Tommy Orange,9780525436140
"The Overstory",Richard Powers,9780393635522
"Where the Crawdads Sing",Delia Owens,9780735219090
"Milkman",Anna Burns,9781644450005
"Washington Black",Esi Edugyan,9780525521426
"The Mars Room",Rachel Kushner,9781476798028
"The Largesse of the Sea Maiden",Denis Johnson,9780812998348
"My Year of Rest and Relaxation",Ottessa Moshfegh,9780525522119
"The Immortalists",Chloe Benjamin,9780735213180
"Little Fires Everywhere",Celeste Ng,9780735224292
"The Woman in the Window",A.J. Finn,9780062678415
"The Outsider",Stephen King,9781501180989
"Elevation",Stephen King,9781982102319
"The President Is Missing",Bill Clinton & James Patterson,9780316412699
"Fire & Blood",George R.R. Martin,9781524796281
"Red Sparrow",Jason Matthews,9781476706146
"The Tattooist of Auschwitz",Heather Morris,9780062797158
"Before We Were Yours",Lisa Wingate,9780425284681
"All the Light We Cannot See",Anthony Doerr,9781476746586
"The Hate U Give",Angie Thomas,9780062498533
"Children of Blood and Bone",Tomi Adeyemi,9781250170972
"The Cruel Prince",Holly Black,9780316310277
"A Court of Frost and Starlight",Sarah J. Maas,9781681196312
"Kingdom of Ash",Sarah J. Maas,9781619636101
"The Wife Between Us",Greer Hendricks & Sarah Pekkanen,9781250130921
"Bad Blood: Secrets and Lies in a Silicon Valley Startup",John Carreyrou,9781524731657
"Sapiens: A Brief History of Humankind",Yuval Noah Harari,9780062316097
"Atomic Habits",James Clear,9780735211292
"21 Lessons for the 21st Century",Yuval Noah Harari,9780525512172
"Factfulness",Hans Rosling,9781250107812
"The Library Book",Susan Orlean,9781476740188
"These Truths: A History of the United States",Jill Lepore,9780393635249
"Fear: Trump in the White House",Bob Woodward,9781501175510
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,9781250193452
"The Reckoning",John Grisham,9780385544153
"Past Tense",Lee Child,9780399593512
"Dark Sacred Night",Michael Connelly,9780316486676
"Long Road to Mercy",David Baldacci,9781538761526
"Look Alive Twenty-Five",Janet Evanovich,9780399179243
"The 17th Suspect",James Patterson,9780316274043
"I'll Be Gone in the Dark",Michelle McNamara,9780062319784
"Calypso",David Sedaris,9780316392359
"Small Fry",Lisa Brennan-Jobs,9780802128232
